loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),batteryState,batteryLevel,label
57:18.1,1,1571680638,33.99904894,-81.03091123,91.31862,0.8910047,243.7275004,6.997970488,76.57895304,-9999,406392.9319,-0.052062988,-0.332855225,-0.930282593,1,0.53,5
57:18.2,2,1571680638,33.99904894,-81.03091123,91.31862,0.8910047,243.7275004,6.997970488,76.57895304,-9999,406392.9719,-0.065460205,-0.334259033,-0.925796509,1,0.53,5
57:18.2,3,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.0119,-0.079071045,-0.322631836,-0.930374146,1,0.53,5
57:18.2,4,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.0518,-0.074050903,-0.323226929,-0.948577881,1,0.53,5
57:18.3,5,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.0918,-0.061523438,-0.320098877,-0.9453125,1,0.53,5
57:18.3,6,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.1318,-0.066101074,-0.318359375,-0.949645996,1,0.53,5
57:18.4,7,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.1718,-0.046661377,-0.33013916,-0.92300415,1,0.53,5
57:18.4,8,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.2118,-0.06098938,-0.328552246,-0.919555664,1,0.53,5
57:18.4,9,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.2518,-0.049301147,-0.336364746,-0.910125732,1,0.53,5
57:18.5,10,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.2917,-0.026672363,-0.325042725,-0.908325195,1,0.53,5
57:18.5,11,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.3317,-0.029022217,-0.254852295,-0.897949219,1,0.53,5
57:18.6,12,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.3717,-0.107269287,-0.150222778,-0.915756226,1,0.53,5
57:18.6,13,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.4117,-0.161376953,-0.05166626,-0.884597778,1,0.53,5
57:18.6,14,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.4517,-0.168380737,0.167160034,-0.960189819,1,0.53,5
57:18.7,15,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.4917,-0.195861816,0.346740723,-0.946166992,1,0.53,5
57:18.7,16,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.5316,-0.240646362,0.555099487,-0.895126343,1,0.53,5
57:18.8,17,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.5716,-0.217727661,0.528518677,-0.826629639,1,0.53,5
57:18.8,18,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.6116,-0.250289917,0.626449585,-1.026580811,1,0.53,5
57:18.8,19,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.6516,-0.232208252,0.471435547,-0.974578857,1,0.53,5
57:18.9,20,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.6916,-0.288421631,0.326766968,-0.904678345,1,0.53,5
